assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,season,season_idx,news_added,creativity_rank,creativity_rank_type,ict_index_rank,ict_index_rank_type,influence_rank,influence_rank_type,threat_rank,threat_rank_type
1,0,288,100,100,4,15237,0,0,-4,4,223.8,0,385.0,3,-0.5,-0.5,2,Andrew,0.0,38,0,57.0,39,False,256.8,0.0,0.0,0.0,0.0,1800,,46,0,0,0,15237.jpg,2.0,1,0,Surman,0.1,False,6,a,2,91,90.0,44,2544,0,9703,0,0.0,9.6,Surman,1,2016-17,0,,,,,,,,,
0,0,0,0,0,0,80498,0,0,-1,1,0.0,0,84.0,3,0.0,0.0,0,Eunan,0.0,0,0,0.0,40,False,0.0,0.0,0.0,0.0,0.0,0,Joined Leeds on 31/8,44,0,0,0,80498.jpg,0.0,0,0,O'Kane,0.3,False,32,u,2,91,0.0,0,1488,0,11094,0,0.0,0.0,O'Kane,0,2016-17,0,,,,,,,,,
0,0,0,0,0,0,20669,0,0,0,0,0.0,0,3.0,3,0.0,0.0,0,Shaun,0.0,0,0,0.0,41,False,0.0,0.0,0.0,0.0,0.0,0,Transferred to Wigan,45,0,0,0,20669.jpg,0.0,0,0,MacDonald,0.1,False,16,u,2,91,0.0,0,422,0,4223,0,0.0,0.0,MacDonald,0,2016-17,0,,,,,,,,,
6,13,372,75,100,4,56872,0,0,-9,9,406.9,1,217.0,3,4.8,-0.5,9,Junior,0.0,29,7,128.0,42,False,454.6,0.0,0.0,0.0,0.0,1467,Hernia - 75% chance of playing,46,0,0,0,56872.jpg,5.1,0,0,Stanislas,1.3,False,19,d,2,91,418.0,107,335334,0,294179,0,0.0,23.3,Stanislas,1,2016-17,0,,,,,,,,,
0,2,254,100,100,4,40387,0,0,-3,3,181.7,0,331.0,3,0.0,-0.5,3,Dan,0.0,24,2,60.5,43,False,254.0,0.0,0.0,0.0,0.0,1366,,47,0,0,0,40387.jpg,1.8,0,0,Gosling,0.1,False,4,a,2,91,168.0,49,8398,0,12925,0,0.0,10.4,Gosling,6,2016-17,0,,,,,,,,,
0,0,24,100,100,0,59741,0,0,-5,5,18.2,0,155.0,3,-0.2,-0.5,0,Max,0.0,1,0,10.8,44,False,24.6,0.0,0.0,0.0,0.0,134,,50,0,0,0,59741.jpg,0.7,0,0,Gradel,0.1,False,10,a,2,91,70.0,8,1178,0,13431,0,0.0,1.6,Gradel,3,2016-17,0,,,,,,,,,
0,0,0,0,0,0,122342,0,0,-1,1,0.0,0,0.0,3,0.0,0.0,0,Emerson,0.0,0,0,0.0,45,False,0.0,0.0,0.0,0.0,0.0,0,Joined Rangers on loan from 9/1 until end of the season,44,0,0,0,122342.jpg,0.0,0,0,Hyndman,0.0,False,22,u,2,91,0.0,0,680,0,1375,0,0.0,0.0,Hyndman,0,2016-17,0,,,,,,,,,
0,0,133,100,100,3,103912,0,0,-6,6,268.3,0,184.0,3,0.0,-0.5,1,Jordon,0.0,22,0,61.5,46,False,113.0,0.0,0.0,0.0,0.0,1055,,49,0,0,0,103912.jpg,1.4,0,0,Ibe,1.1,False,33,a,2,91,235.0,36,26236,0,163375,0,0.0,7.3,Ibe,0,2016-17,0,,,,,,,,,
2,1,81,100,0,1,155408,0,0,-3,3,89.8,0,0.0,3,0.0,0.0,0,Lewis,0.0,7,0,21.8,47,False,100.8,0.0,0.0,0.0,0.0,432,,42,0,0,0,155408.jpg,2.8,0,0,Cook,0.8,False,18,a,2,91,28.0,17,28535,0,38906,0,0.0,4.0,Lewis Cook,1,2016-17,0,,,,,,,,,
3,17,553,100,75,9,78007,0,0,7,-7,474.6,3,321.0,3,5.9,-0.4,0,Joshua,0.0,54,16,231.6,48,False,835.2,0.0,0.0,0.0,0.0,2714,,62,0,1,0,78007.jpg,4.9,0,0,King,19.3,False,17,a,2,91,1007.0,178,1124078,0,312348,0,0.0,28.7,King,1,2016-17,0,,,,,,,,,
